source,rating,title,body_redacted,word_count,review_date
playstore,5,18.7.1,Use this app since 2021...... best app for beginners....UI is user friendly,12,2026-04-24T22:36:54
playstore,1,18.4.3,too much brokerage charges...I have given 2 lack in brokerage charges on FNO,13,2026-04-24T22:21:03
playstore,1,18.7.1,chutiya application. always charges higher price more than double in every share purchase than zerodha broker and tells my AMC is zero.,22,2026-04-24T21:34:47
playstore,1,18.7.1,"worst app,even a simple functionality of transfer of funds are not working through net banking using your linked account.",19,2026-04-24T20:11:18
playstore,1,,very bad app i was playing candy crush then this ad came this literally is waste of time wasted my 17 min very unsatisfied with this app,27,2026-04-24T20:07:05
playstore,2,18.8.1,sl trail jumping not awailable its big poor condition then other app. please give this function hidden charge is very high with gst.realy grow charge 150 rupies per order and sl and tg process when we change sl then sl will not hit same point. and comodity not awailable,49,2026-04-24T19:29:09
playstore,1,18.7.1,Customer support is very pathetic even in 2026. So I'll be honest and give 1 rating for the weak customer help which matters the most. The team lacks a lot of knowledge and they don't know even the basics of MF and Stocks.,43,2026-04-24T13:43:28
playstore,1,18.7.1,beech market me app stop working...it's loading it's more than 15min,11,2026-04-24T13:05:27
playstore,1,18.7.1,New update is so pathetic Mobile terminal view got downgraded and cant use the Tools to analyse,17,2026-04-24T12:36:51
playstore,1,18.7.1,"Groww app started putting my mutual fund investments in full demat folio without my permission, I didn't choose any demat folio, I wasn't given the option to choose through notification, very bad app, is this groww app owner of all investors?",41,2026-04-24T12:33:49
playstore,1,18.7.1,what's this App for? i never see's a profit from the past three months!!,14,2026-04-24T12:26:56
playstore,1,18.7.1,Aap scervis working Castumer saport not good very puar scervis Payment issue not resolved May complain But no any action not good service not good work pese kha gye h bina puche bank me transfer kr kre h or bolte guidline h ase kisi k pese bina kisi permission k ap kese bank me transfer kr re ho gatiya service h grow application ki,64,2026-04-24T11:43:31
playstore,2,18.7.1,this broker is hiding some data .It is not transparent .The transaction is not showing all something hiding the credit. And after release the trade the profit also did not show that much profit and which time will adding didn't show. Now I experience myself this broker is hiding transaction data so that we didn't know whether the profit credit or not credit after release the trade.,67,2026-04-24T11:14:57
playstore,5,,"please don't use this , policy is for profit, customer is money, uninstall this app now",16,2026-04-24T10:33:39
playstore,1,18.7.1,"I receive notifications from Groww, but there is no option in the app to view all notifications in one place. Once the notification panel is cleared, all notifications are gone and cannot be accessed again. I request that you provide a feature in the app to view daily notifications or notification history",52,2026-04-24T10:16:00
playstore,1,18.7.1,"The whole app has been ruined, after the April day by day changes, Today's High Low & 52 weeks High Low showing same, Sensex/Nifty Index Expiry are not shown, under any similar stock category, something else stocks are shown & why the market depth has been moved upward, why ?",50,2026-04-24T09:45:26
playstore,1,18.7.1,it's showing wrong 52 weeks high and low. it is same as day high and day low. it's the major issue in the app.,24,2026-04-24T09:36:06
playstore,2,18.7.1,The tradingview chart from groww app is not working. And also it is not properly showing the 52 weeks high and low.. Too much bugs and glitches. Probably have to shift to another broker,34,2026-04-24T09:22:55
